Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
PERSON (ZONE)	PERSON (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	104.00K	0.00K
EDGECOMBE (ZONE)	EDGECOMBE (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	919.00K	0.00K
HALIFAX (ZONE)	HALIFAX (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	1.600M	0.00K
WAKE (ZONE)	WAKE (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	890.00K	0.00K
FRANKLIN (ZONE)	FRANKLIN (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		1	0	209.00K	0.00K
DURHAM (ZONE)	DURHAM (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	205.00K	0.00K
MICRONESIA (ZONE)	MICRONESIA (ZONE)	XX	11/22/2003	0:00	SST	Hurricane (typhoon)		0	0	1.200M	500.00K
TUTUILA (ZONE)	TUTUILA (ZONE)	XX	1/4/2004	23:00	SST	Hurricane (typhoon)		0	20	50.000M	0.00K
MANU'A (ZONE)	MANU'A (ZONE)	XX	1/4/2004	23:00	SST	Hurricane (typhoon)		0	0	0.00K	0.00K
ROSE (ZONE)	ROSE (ZONE)	XX	1/4/2004	23:00	SST	Hurricane (typhoon)		0	0	0.00K	0.00K
SWAINS (ZONE)	SWAINS (ZONE)	XX	1/4/2004	23:00	SST	Hurricane (typhoon)		0	0	0.00K	0.00K
MICRONESIA (ZONE)	MICRONESIA (ZONE)	XX	4/7/2004	0:00	SST	Hurricane (typhoon)		0	0	13.500M	500.00K
NORTHERN MARIANAS (ZONE)	NORTHERN MARIANAS (ZONE)	XX	6/27/2004	0:00	SST	Hurricane (typhoon)		0	0	3.900M	1.270M
WESTERN HYDE (ZONE)	WESTERN HYDE (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
WESTERN DARE (ZONE)	WESTERN DARE (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
WASHINGTON (ZONE)	WASHINGTON (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
BEAUFORT (ZONE)	BEAUFORT (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
EASTERN DARE (ZONE)	EASTERN DARE (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	2.500M	0.00K
CARTERET (ZONE)	CARTERET (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	25.00K	0.00K
ONSLOW (ZONE)	ONSLOW (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	5.00K	0.00K
TYRRELL (ZONE)	TYRRELL (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
CRAVEN (ZONE)	CRAVEN (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	10.00K	0.00K
EASTERN HYDE (ZONE)	EASTERN HYDE (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	5.000M	0.00K
PAMLICO (ZONE)	PAMLICO (ZONE)	NC	8/3/2004	0:00	EST	Hurricane (typhoon)		0	0	10.00K	0.00K
MONROE/LOWER KEYS (ZONE)	MONROE/LOWER KEYS (ZONE)	FL	8/11/2004	4:00	EST	Hurricane (typhoon)		0	0	150.00K	0.00K
MONROE/UPPER KEYS (ZONE)	MONROE/UPPER KEYS (ZONE)	FL	8/11/2004	4:00	EST	Hurricane (typhoon)		0	0	5.00K	0.00K
MONROE/MIDDLE KEYS (ZONE)	MONROE/MIDDLE KEYS (ZONE)	FL	8/11/2004	4:00	EST	Hurricane (typhoon)		0	0	5.00K	0.00K
COASTAL COLLIER (ZONE)	COASTAL COLLIER (ZONE)	FL	8/13/2004	0:00	EST	Hurricane (typhoon)		0	0	2.500M	0.00K
HENDRY (ZONE)	HENDRY (ZONE)	FL	8/13/2004	1:00	EST	Hurricane (typhoon)		0	0	50.00K	0.00K
GLADES (ZONE)	GLADES (ZONE)	FL	8/13/2004	2:00	EST	Hurricane (typhoon)		0	0	25.00K	0.00K
DIXIE (ZONE)	DIXIE (ZONE)	FL	8/13/2004	6:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
